module,sample,seqlen,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,LS002,20M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28395807,10214716,1465,2,22312400,6290303,4096,99%,0,0,0,0,17.14,1124.18,3939,19:03.03
velvet,LS002,20M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28395807,10214716,1972,2,22312252,6291317,4096,99%,0,0,0,0,16.95,1118.28,5190,18:58.54
velvet,LS002,20M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28395807,10214716,3223,2,22312228,6291326,4096,99%,0,0,0,0,17.15,1122.46,5183,19:02.11
velvet,LS002,20M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28422175,10214708,1245,2,22312472,6291323,4096,99%,0,0,0,0,16.63,1129.46,5312,19:09.25
velvet,LS002,20M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28395823,10214716,1163,2,22311860,6290799,4096,99%,0,0,0,0,15.85,1021.33,5148,17:19.15
velvet,LS002,20M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28395807,10214716,1584,2,22312336,6290301,4096,99%,0,0,0,0,17.36,1118.48,5191,18:58.04
velvet,LS002,20M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28395807,10214708,1120,2,22311556,6291304,4096,99%,0,0,0,0,15.68,1002.87,5096,17:00.16
velvet,LS002,20M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28395807,10214708,1463,2,22311552,6291305,4096,99%,0,0,0,0,15.65,1022.14,5088,17:19.78
velvet,LS002,25M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35512137,12877222,1459,2,25720112,7336078,4096,99%,0,0,0,0,18.66,1306.24,6462,22:07.36
velvet,LS002,25M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35512121,12877222,1385,2,25719776,7336058,4096,99%,0,0,0,0,19.01,1254.41,6428,21:16.05
