module,sample,seqlen,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,LS002,20M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107034,3919598,1500,3,10368076,1293416,4096,100%,0,0,0,0,7.59,1349.65,2036,22:36.95
velvet,LS002,20M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107034,3919598,1829,3,10368076,1961828,4096,100%,0,0,0,0,8.61,1680.05,2026,28:07.84
velvet,LS002,20M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107034,3919598,1474,3,10368148,1292980,4096,100%,0,0,0,0,7.35,1350.85,2035,22:37.70
velvet,LS002,20M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107034,3919598,1484,3,10368080,1292425,4096,100%,0,0,0,0,7.38,1352.20,2034,22:39.32
velvet,LS002,25M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280175,4900851,1883,3,12577952,1615356,4096,100%,0,0,0,0,9.05,1713.32,2546,28:41.93
velvet,LS002,25M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280175,4900851,1834,3,12578012,1615901,4096,100%,0,0,0,0,9.54,1678.61,2531,28:07.70
velvet,LS002,25M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280943,4900851,2051,3,12577948,1615854,4096,100%,0,0,0,0,10.52,1857.97,2532,31:08.07
velvet,LS002,25M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280175,4900851,8404,3,12577944,1616376,4096,100%,0,0,0,0,10.49,1847.28,2554,30:57.68
velvet,LS002,25M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280943,4900843,1930,3,12577944,1616367,4096,99%,0,0,0,0,9.76,1714.71,2538,28:48.26
velvet,LS002,25M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280175,4900843,1897,3,12577944,1615880,4096,99%,0,0,0,0,9.16,1718.43,2558,28:51.28
