ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,ajorFaults,axRSS,inorFaults,PageSize,PercentCPU,SignalsDeliv,SocketsgRecv,SocketsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime,SampleName
16,120G,5,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem120G/trial5/dup -u 50",0,12544,36702856,3615,7,104980216,24420036,4096,98%,0,0,0,0,618.47,1033.12,348,28:04.90,LS002
20,110G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem110G/trial1/dup -u 50",0,14176,36702800,3212,8,104979444,23358902,4096,100%,0,0,0,0,105.98,991.25,380,18:16.72,LS002
20,110G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem110G/trial1/dup -u 50",0,14176,36702816,4832,8,104978728,29657684,4096,98%,0,0,0,0,1185.42,1007.38,278,37:05.50,LS002
20,110G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem110G/trial2/dup -u 50",0,14176,36702800,3495,8,104980092,23365221,4096,100%,0,0,0,0,106.82,1015.23,314,18:41.48,LS002
20,110G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem110G/trial2/dup -u 50",0,12544,36702792,3224,7,104979384,23359938,4096,99%,0,0,0,0,108.31,1053.37,381,19:22.02,LS002
20,110G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem110G/trial3/dup -u 50",0,14176,36702792,1727,8,104979560,23361918,4096,100%,0,0,0,0,108.26,1010.34,336,18:37.88,LS002
20,110G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem110G/trial3/dup -u 50",0,12304,36702816,3896,7,104979260,23693684,4096,98%,0,0,0,0,483.97,1018.66,511,25:29.58,LS002
20,110G,4,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem110G/trial4/dup -u 50",0,12544,36702792,3263,7,104980220,23359376,4096,100%,0,0,0,0,110.68,990.35,325,18:20.47,LS002
20,110G,5,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem110G/trial5/dup -u 50",0,12544,36702792,2948,7,104979828,23361281,4096,100%,0,0,0,0,100.81,1027.19,340,18:47.37,LS002
20,120G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem120G/trial1/dup -u 50",0,12544,36702808,3290,7,104979496,23895071,4096,98%,0,0,0,0,353.70,955.62,400,22:09.24,LS002
